id,team_name,speaker_1,email_1,contact_1,institution_1,speaker_2,email_2,contact_2,institution_2,speaker_3,email_3,contact_3,institution_3,accomodation,message
31153526-2377-435a-bfe4-10b45d281254,Wanda Velazquez,Nemo aut magna nihil,jifoduzatu@mailinator.com,Commodi et veritatis,Reprehenderit volup,Autem reiciendis ull,byhuqy@mailinator.com,Sit eligendi invento,Doloremque soluta ni,Aliquid consequatur ,pico@mailinator.com,Fuga Eu lorem ut ut,Sit laboris voluptas,true,Vero illum consequa
ea35d3d1-5583-43b8-8d7f-85cf7c4cd4bc,Kevin Mccall,Pariatur Temporibus,nudo@mailinator.com,Commodi sed omnis ni,Deleniti qui placeat,Quibusdam est dolore,bywyzuga@mailinator.com,Qui sunt doloremque,Consequuntur sit in ,Aperiam ratione nobi,botezugo@mailinator.com,Corrupti soluta dol,Voluptatem Qui aliq,true,Est in deserunt sun
ab7d70cc-b69f-4f4b-91e4-56bb431d2390,Rogan Austin,Ratione ut ea non si,gofa@mailinator.com,Labore corrupti in ,Dolore enim quis qui,Dolor dolorem aliqui,cunidi@mailinator.com,Eius proident commo,Sint ipsum facilis u,Cupidatat facere exe,zimetoxax@mailinator.com,Non laboris eligendi,Hic repudiandae sed ,true,Rerum odit minus ani
f37c9ee0-54ad-48f5-b223-ecabeda8e06f,zax,crox,wer@er,7867799978,war,crox,wer@er,7867799978,war,crox,wer@er,7867799978,war,true,
2229c0af-b603-4464-8391-dbda0e9055ac,Pratik Mohanty,Hsbe,pratik@gmail.com,Yegeg,Ghsheg,Hhsheh,pratik@gmail.com,Dhie@yeheg,Ijrhe,Hebev,ushevev@gmail,vvjdndh,Hehehev,true,Hzvsyxbxb
98f8afc6-2dc4-46cb-9e44-34a89281224d,Daria Donovan,Illum elit irure n,nirypixaxe@mailinator.com,Inventore quam ea ex,Exercitation perfere,Qui reprehenderit si,ryvav@mailinator.com,Illo asperiores ut m,Autem dolor aute opt,Unde reprehenderit d,hisawyrem@mailinator.com,Non voluptatem aut e,Dignissimos non et q,true,Minus ut a ducimus 
5947fc99-dd98-4660-a7f2-ab749e27c1c0,Ainsley Sosa,Quia repellendus Co,pokusoh@mailinator.com,Voluptas aut labore ,Occaecat autem velit,Nisi nihil dignissim,ramediciw@mailinator.com,Quis enim et est des,Eligendi ut et cum q,Sit aliquid labore ,zynedem@mailinator.com,Labore in ad perfere,Doloremque explicabo,true,Id minus ad obcaecat
b9104086-8c70-450a-8184-008fff6bd0df,Brendan Duke,Blanditiis velit vo,dirarujuwi@mailinator.com,Esse corrupti velit,Minima labore perspi,Molestias dolore ab ,syruhefuxe@mailinator.com,Nobis voluptatem Iu,Aliquid blanditiis i,Ullamco aut suscipit,josejetyzu@mailinator.com,Quas et esse a volu,Necessitatibus aliqu,true,Dolores officia in r
1b9162e0-7786-491c-af4a-389d285ade8c,Jessamine Melton,Id voluptatum quod m,lafumiv@mailinator.com,Quis corrupti maior,Et vel commodo sed i,Ad maiores eligendi ,qado@mailinator.com,Voluptatem Praesent,Cum similique et ips,Ea neque est nisi ha,cytexujen@mailinator.com,Quasi sit ratione du,Expedita totam eu au,true,Consectetur sit dol
964367a4-c387-4777-86de-2695faade6cd,Tiger Nicholson,Ullamco quo tenetur ,pifa@mailinator.com,Labore error in prae,Aut sunt molestias ,Sed distinctio Aliq,vetetupow@mailinator.com,Dolore perspiciatis,Dolor natus blanditi,Illo nulla aut do is,cavo@mailinator.com,Perspiciatis quos o,Doloremque aliqua V,true,Aut provident harum
ce4b312f-dd66-4137-8417-4d81a1c6bd59,pratik nikhil,Mollitia ducimus co,catohi@mailinator.com,Id aliqua Optio v,Et laborum Aliquam ,Esse possimus dolo,qesutiwofo@mailinator.com,Placeat non nesciun,Esse velit sapiente,Qui aut itaque aliqu,doxiza@mailinator.com,Magni cillum maxime ,Adipisicing libero q,true,Consectetur tempora 
e3286ec0-4c66-4da6-9268-6ba1504a6485,Bunn,Bill,nil@gmail.com,Null,JJ,Full,bill@gmail.com,Full,Good,Hii,jonno@gmail.com,Gup,Bill,false,
8947e7ac-e8fd-4dc1-b185-fcdee51cb2cf,Beast Masters,SAIBABH KUMAR,kumarsaibabh08@gmail.com,9337012894,Kiit University ,Anshuman Bhagwati,bhagwati.anshuman@gmail.com,9348925969,Kiit University ,Yash Das,0011yashdas@gmail.com,8455906554,ITER SOA,false,
da381bed-0734-492b-ba0a-ece49a2ee392,The DSQ,Saransh Jain,2330261@kiit.ac.in,7582077820,KIIT,Swarnim Shekhar,2305907@kiit.ac.in,8384009026,KIIT,Sanket Sharma,2329147@kiit.ac.in,9147094447,KIIT,false,
90650dcb-c5e2-4ad6-b9e1-1dd06f2dcac5,The DSQ,Saransh Jain,2330261@kiit.ac.in,7582077820,KIIT,Swarnim Shekhar,2305907@kiit.ac.in,8384009026,KIIT,Sanket Sharma,2329147@kiit.ac.in,9147094447,KIIT,false,
