id,email,institution,name_poc1,contact_poc1,email_poc1,name_poc2,contact_poc2,email_poc2,slots,ajudicator_slots,accomodation,message
e00e3dde-ef22-49e6-a38a-d638f34c0e4b,dejiceres@mailinator.com,Qui ullamco dolorum ,Sacha Ortega,Pariatur Est molest,cumufo@mailinator.com,Quamar Strickland,Aperiam consequatur,xarubihe@mailinator.com,2,3,true,Ad laboris voluptate
1080e829-501e-45f5-9435-834bd633af3f,babokosa@mailinator.com,Ad aliquam ut Nam eo,Karly Peters,Maxime facilis ut si,gizowakoty@mailinator.com,Justin Hines,Ab perspiciatis ut ,ceju@mailinator.com,4,3,true,Aute perspiciatis a
edbe70d2-a68a-4290-a0ab-9bcc3e49a332,jamik@mailinator.com,Et eos dignissimos m,Rhonda Lucas,Totam impedit tenet,barifup@mailinator.com,Beau Beck,Eum accusamus duis f,melyqacogu@mailinator.com,3,2,true,Reprehenderit sunt
b021b741-131f-48b2-a3aa-cd426bd87663,s@gnail.con,Gsvsvsv,Bbbbd,Dhdvdv,Sc@gmail comn,Gegeg,Dndb,Bdbsh@gmail.con,3,5,true,Nsbsvev
fa03e5d5-d7e7-4c82-a885-402878b68da8,s@gnail.con,Gsvsvsv,Bbbbd,Dhdvdv,Sc@gmail comn,Gegeg,Dndb,Bdbsh@gmail.con,3,5,true,Nsbsvev
5f85dc59-fa4f-4fe4-bdf3-35ffcc140081,zypityhif@mailinator.com,Autem consequatur te,Alexander Good,Explicabo Quis eos,mocavewe@mailinator.com,Demetria Shaw,Quisquam cupidatat q,wyqipesum@mailinator.com,5,3,true,Labore sunt magnam a
a50a4145-3c8e-4d60-8338-fa304b622626,gakozigony@mailinator.com,Doloremque fugit co,Joel Hardin,Culpa dolorem ullamc,poqomuj@mailinator.com,Wylie French,Esse tempor incidun,zucuvaj@mailinator.com,1,1,true,Eveniet quae quae a
9ea0e512-9ea4-404c-9fff-d04246db9d83,tixibij@mailinator.com,Officia molestias id,Samson Cline,Optio distinctio A,taxitalebo@mailinator.com,Abel Hines,Aliquip velit ab co,woquvo@mailinator.com,1,1,true,Deserunt illo qui li
96c3e90b-1368-4458-bf16-b78411d13975,miqon@mailinator.com,Iure duis aut est s,Eleanor Mcclain,Aut et molestiae num,becyzupapy@mailinator.com,Elizabeth Bryant,Nulla ipsa veniam ,litedat@mailinator.com,1,1,true,Sequi odit quia at d
faf2d790-33d4-4f4d-8029-abc392b2b67b,meworapyco@mailinator.com,Ea optio quis eum s,Emi Sampson,Dolor minus quia qui,tajitawiba@mailinator.com,Cara Hall,Qui pariatur Omnis ,javuzode@mailinator.com,1,1,true,Ipsum inventore qui 
87918ecf-75e3-47ec-8959-54f48f0679b3,meworapyco@mailinator.com,Ea optio quis eum s,Emi Sampson,Dolor minus quia qui,tajitawiba@mailinator.com,Cara Hall,Qui pariatur Omnis ,javuzode@mailinator.com,1,1,true,Ipsum inventore qui 
0078a338-61c2-4447-9d7b-157c2c705439,meworapyco@mailinator.com,Ea optio quis eum s,Emi Sampson,Dolor minus quia qui,tajitawiba@mailinator.com,Cara Hall,Qui pariatur Omnis ,javuzode@mailinator.com,1,1,true,Ipsum inventore qui 
c1d64882-8e68-49b7-88b2-b554707d9359,fawecojusa@mailinator.com,Voluptates veniam u,Herrod Mccray,Qui debitis incididu,gocige@mailinator.com,Vincent Britt,Irure iure non qui i,teqejul@mailinator.com,5,3,true,Autem dolorem volupt
4b5a2e31-ffe5-4bd6-a416-c55e03812098,laxigadyjo@mailinator.com,Excepturi pariatur ,Joseph Lott,Commodi explicabo A,rygidyn@mailinator.com,Seth Golden,Sit repudiandae laud,lywomez@mailinator.com,3,5,true,Voluptatum obcaecati
4f2a5f82-5a41-486b-aa0b-15f7097d971c,ruwicatat@mailinator.com,Minima fugiat aut pa,Sydnee Best,Perferendis dolore e,nisuda@mailinator.com,Alice Cooper,Perferendis quia aut,sisika@mailinator.com,3,5,true,Amet officiis volup
5fa6cecd-3bf0-4233-8232-a1f79728c0bd,architgautam05@gmail.com,KIIT ,ARCHIT GAUTAM ,7710035012,architgautam05@gmail.com,ADIT AGRAWALLA ,7381999924,aditagrawalla1234@gmail.com,3,3,false,"There are 3 ppl in our group . 
3rd member's name :- 

ABHISHEK SAHOO 
+91 98336 85187
"
385a9d89-2199-4fba-aed1-ebc2b4afbd03,architgautam05@gmail.com,KIIT ,ARCHIT GAUTAM ,7710035012,architgautam05@gmail.com,ADIT AGRAWALLA ,7381999924,aditagrawalla1234@gmail.com,3,3,false,"There are 3 ppl in our group . 
3rd member's name :- 

ABHISHEK SAHOO 
+91 98336 85187
"
d9a472b1-c97e-4ff1-80c8-63e1f92bd6e2,anamitrasen123@gmail.com,KIIT,Anamitra Sengupta ,9749525741,anamitrasen123@gmail.com,Pratyush Saran,9474510987,2005008@kiit.ac.in,2,2,true,
379acb0f-74a7-461c-be69-cda0538bbc40,devayushdas@gmail.com,Siksha O Anusandhan University ,Devayush Das ,8328901863,devayushdas@gmail.com,Devayush Das ,8328901863,devayushdas@gmail.com,1,1,false,
